inc_number,occurred_on,ucr_crime_category,100_block_addr,zip,premise_type,year,month,day_name,hour
201500002107784,2015-11-02 06:55:00,ROBBERY,2100 W HAZELWOOD ST,85015,STREET / ROADWAY / ALLEY / SIDEWALK,2015.0,11.0,Monday,6.0
201500002108890,2015-11-02 07:00:00,BURGLARY,7000 W CYPRESS ST,85035,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,7.0
201580008448,2015-11-02 07:18:00,LARCENY-THEFT,17200 N 7TH ST,85022,PARKING LOT,2015.0,11.0,Monday,7.0
201500002107835,2015-11-02 07:24:00,DRUG OFFENSE,17600 N CAVE CREEK RD,85022,VEHICLE,2015.0,11.0,Monday,7.0
201500002115117,2015-11-02 07:45:00,LARCENY-THEFT,100 N 5TH ST,85004,PARKING GARAGE,2015.0,11.0,Monday,7.0
201500002110411,2015-11-02 08:00:00,BURGLARY,21200 N 30TH AVE,85027,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,8.0
201500002207021,2015-11-02 08:00:00,LARCENY-THEFT,7400 W CATALINA DR,85033,SCHOOL-COLLEGE/UNIVERSITY,2015.0,11.0,Monday,8.0
201500002145166,2015-11-02 08:00:00,BURGLARY,800 W GEORGIA AVE,85013,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,8.0
201500002111410,2015-11-02 08:00:00,BURGLARY,16000 N 25TH ST,85032,APARTMENT,2015.0,11.0,Monday,8.0
201500002351856,2015-11-02 08:00:00,LARCENY-THEFT,6000 W THOMAS RD,85035,FENCED COMMERCIAL YARD,2015.0,11.0,Monday,8.0
201500002111551,2015-11-02 08:00:00,BURGLARY,6200 W CLARENDON AVE,85033,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,8.0
201500002109269,2015-11-02 08:15:00,LARCENY-THEFT,800 N 52ND AVE,85043,OFFICE / COMMERCIAL BUILDING,2015.0,11.0,Monday,8.0
201500002113116,2015-11-02 08:30:00,MOTOR VEHICLE THEFT,7700 W DEVONSHIRE AVE,85033,STREET / ROADWAY / ALLEY / SIDEWALK,2015.0,11.0,Monday,8.0
201500002112900,2015-11-02 08:30:00,BURGLARY,1500 W PIERSON ST,85015,APARTMENT,2015.0,11.0,Monday,8.0
201500002129518,2015-11-02 08:30:00,BURGLARY,1300 E PIERCE ST,85006,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,8.0
201500002110856,2015-11-02 08:30:00,BURGLARY,7200 W MCDOWELL RD,85043,APARTMENT,2015.0,11.0,Monday,8.0
201500002164493,2015-11-02 09:00:00,AGGRAVATED ASSAULT,1200 E TOWNLEY AVE,85020,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,9.0
201500002108368,2015-11-02 09:02:00,DRUG OFFENSE,3100 N 20TH ST,85016,,2015.0,11.0,Monday,9.0
201500002108887,2015-11-02 09:15:00,LARCENY-THEFT,5600 N 19TH AVE,85015,LIGHT RAIL,2015.0,11.0,Monday,9.0
201500002109004,2015-11-02 09:30:00,BURGLARY,1200 E HIGHLAND AVE,85014,APARTMENT,2015.0,11.0,Monday,9.0
201500002108687,2015-11-02 09:51:00,DRUG OFFENSE,600 E HEARN RD,85022,VEHICLE,2015.0,11.0,Monday,9.0
201500002110009,2015-11-02 10:00:00,LARCENY-THEFT,3900 W SHERIDAN ST,85009,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,10.0
201500002110177,2015-11-02 10:00:00,BURGLARY,2900 W LAWRENCE LN,85051,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,10.0
201500002109104,2015-11-02 10:30:00,LARCENY-THEFT,2300 W BETHANY HOME RD,85015,MEDICAL OFFICE,2015.0,11.0,Monday,10.0
201500002110047,2015-11-02 10:40:00,LARCENY-THEFT,7300 W THOMAS RD,85035,PARKING LOT,2015.0,11.0,Monday,10.0
201500002169070,2015-11-02 11:05:00,BURGLARY,8800 W SELLS DR,85037,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,11.0
201500002109319,2015-11-02 11:41:00,LARCENY-THEFT,1700 W BETHANY HOME RD,85015,RETAIL BUSINESS,2015.0,11.0,Monday,11.0
201500002111072,2015-11-02 12:00:00,BURGLARY,4300 N 75TH AVE,85033,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,12.0
201500002420501,2015-11-02 12:00:00,LARCENY-THEFT,3300 E MCDOWELL RD,85008,RETAIL BUSINESS,2015.0,11.0,Monday,12.0
201500002109715,2015-11-02 12:00:00,LARCENY-THEFT,S CENTRAL AVE & W SOUTHERN AVE,85041,PARKING LOT,2015.0,11.0,Monday,12.0
201500002116911,2015-11-02 12:00:00,MOTOR VEHICLE THEFT,2000 N 51ST ST,85008,APARTMENT,2015.0,11.0,Monday,12.0
201500002151801,2015-11-02 12:00:00,LARCENY-THEFT,6900 W MCDOWELL RD,85043,APARTMENT,2015.0,11.0,Monday,12.0
201500002109497,2015-11-02 12:00:00,DRUG OFFENSE,1600 S 16TH ST,85034,SCHOOL-COLLEGE/UNIVERSITY,2015.0,11.0,Monday,12.0
201580009142,2015-11-02 12:17:00,LARCENY-THEFT,2300 W CARTER RD,85041,SINGLE FAMILY HOUSING,2015.0,11.0,Monday,12.0
201500002108383,2015-11-02 12:30:00,LARCENY-THEFT,2500 W SURREY AVE,85029,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,12.0
201500002111349,2015-11-02 12:45:00,LARCENY-THEFT,9600 N METRO PKWY W,85051,PARKING LOT,2015.0,11.0,Monday,12.0
201500002110215,2015-11-02 12:50:00,DRUG OFFENSE,4200 E ANDORA DR,85032,SCHOOL-OTHER,2015.0,11.0,Monday,12.0
201500002110129,2015-11-02 13:00:00,LARCENY-THEFT,5200 W INDIAN SCHOOL RD,85031,RETAIL BUSINESS,2015.0,11.0,Monday,13.0
201500002161235,2015-11-02 13:25:00,LARCENY-THEFT,2900 W THUNDERBIRD RD,85029,RETAIL BUSINESS,2015.0,11.0,Monday,13.0
201500002110139,2015-11-02 13:43:00,LARCENY-THEFT,5700 N 19TH AVE,85015,DEPARTMENT / DISCOUNT STORE,2015.0,11.0,Monday,13.0
201500002150102,2015-11-02 13:45:00,LARCENY-THEFT,300 E THOMAS RD,85012,HOSPITAL,2015.0,11.0,Monday,13.0
201500002110212,2015-11-02 13:55:00,AGGRAVATED ASSAULT,E ROOSEVELT ST & N 16TH ST,85006,STREET / ROADWAY / ALLEY / SIDEWALK,2015.0,11.0,Monday,13.0
201600000323690,2015-11-02 13:59:00,BURGLARY,5400 W MALDONADO RD,85339,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,13.0
201500002111416,2015-11-02 14:00:00,LARCENY-THEFT,4600 S 7TH ST,85040,PARKING LOT,2015.0,11.0,Monday,14.0
201500002121397,2015-11-02 14:00:00,LARCENY-THEFT,6700 W WINDSOR AVE,85035,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,14.0
201500002110264,2015-11-02 14:02:00,LARCENY-THEFT,6000 S CENTRAL AVE,85042,RETAIL BUSINESS,2015.0,11.0,Monday,14.0
201500002110338,2015-11-02 14:15:00,DRUG OFFENSE,1700 W BETHANY HOME RD,85015,RETAIL BUSINESS,2015.0,11.0,Monday,14.0
201500002110430,2015-11-02 14:20:00,LARCENY-THEFT,4000 E CHANDLER BLVD,85048,GROCERY / SUPER MARKET,2015.0,11.0,Monday,14.0
201500002110415,2015-11-02 14:27:00,LARCENY-THEFT,1800 W BELL RD,85023,RETAIL BUSINESS,2015.0,11.0,Monday,14.0
201500002114816,2015-11-02 14:30:00,BURGLARY,4000 E THUNDERBIRD RD,85032,CONSTRUCTION SITE,2015.0,11.0,Monday,14.0
201500002114707,2015-11-02 14:30:00,BURGLARY,1600 S 35TH AVE,85009,WAREHOUSE / FACTORY,2015.0,11.0,Monday,14.0
201500002110383,2015-11-02 14:37:00,LARCENY-THEFT,4800 E CACTUS RD,85254,CHILD CARE / DAY CARE,2015.0,11.0,Monday,14.0
201500002110561,,ROBBERY,4100 W BASELINE RD,85041,STREET / ROADWAY / ALLEY / SIDEWALK,,,,
201500002110626,2015-11-02 14:55:00,AGGRAVATED ASSAULT,3200 W INDIAN SCHOOL RD,85017,PARKING LOT,2015.0,11.0,Monday,14.0
201500002110649,2015-11-02 14:59:00,LARCENY-THEFT,2500 W HAPPY VALLEY RD,85085,RETAIL BUSINESS,2015.0,11.0,Monday,14.0
201510000015837,2015-11-02 15:00:00,LARCENY-THEFT,14000 N 24TH AVE,85023,DRIVEWAY,2015.0,11.0,Monday,15.0
201500002111011,2015-11-02 15:00:00,LARCENY-THEFT,3500 W CAMELBACK RD,85019,DRUG STORE,2015.0,11.0,Monday,15.0
201500002133413,2015-11-02 15:00:00,LARCENY-THEFT,7200 W DONNER DR,85339,VEHICLE,2015.0,11.0,Monday,15.0
201500002111131,2015-11-02 15:00:00,LARCENY-THEFT,4600 E BELL RD,85032,RETAIL BUSINESS,2015.0,11.0,Monday,15.0
201500002124437,2015-11-02 15:00:00,MOTOR VEHICLE THEFT,2400 W MCDOWELL RD,85009,PARKING LOT,2015.0,11.0,Monday,15.0
201500002111464,2015-11-02 15:00:00,LARCENY-THEFT,13800 N SCOTTSDALE RD,85254,RETAIL BUSINESS,2015.0,11.0,Monday,15.0
201500002114624,2015-11-02 15:00:00,MOTOR VEHICLE THEFT,4100 W OSBORN RD,85019,APARTMENT,2015.0,11.0,Monday,15.0
201500002110742,2015-11-02 15:12:00,DRUG OFFENSE,7000 N 19TH AVE,85021,PARKING LOT,2015.0,11.0,Monday,15.0
201500002111129,2015-11-02 15:28:00,LARCENY-THEFT,3200 E GREENWAY RD,85032,RESTAURANT,2015.0,11.0,Monday,15.0
201500002113164,2015-11-02 15:30:00,BURGLARY,8300 W CAMELBACK RD,85037,CONVENIENCE MARKET / STORE,2015.0,11.0,Monday,15.0
201500002111262,2015-11-02 15:30:00,BURGLARY,10500 W MAGNOLIA ST,85353,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,15.0
201500002114696,2015-11-02 15:30:00,BURGLARY,9300 W JONES AVE,85353,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,15.0
201500002114673,2015-11-02 15:30:00,BURGLARY,3300 E SOUTHERN AVE,85042,FENCED COMMERCIAL YARD,2015.0,11.0,Monday,15.0
201500002110945,2015-11-02 15:36:00,LARCENY-THEFT,4700 E RAY RD,85044,DEPARTMENT / DISCOUNT STORE,2015.0,11.0,Monday,15.0
201500002110997,2015-11-02 15:40:00,LARCENY-THEFT,9900 W CAMELBACK RD,85037,RETAIL BUSINESS,2015.0,11.0,Monday,15.0
201500002111046,2015-11-02 15:55:00,LARCENY-THEFT,4000 N 44TH AVE,85031,PARKING LOT,2015.0,11.0,Monday,15.0
201500002113260,2015-11-02 16:00:00,ROBBERY,1500 W GLENDALE AVE,85021,STREET / ROADWAY / ALLEY / SIDEWALK,2015.0,11.0,Monday,16.0
201500002213672,2015-11-02 16:00:00,BURGLARY,1200 N 40TH ST,85008,APARTMENT,2015.0,11.0,Monday,16.0
201500002111197,2015-11-02 16:10:00,LARCENY-THEFT,7300 W INDIAN SCHOOL RD,85033,RETAIL BUSINESS,2015.0,11.0,Monday,16.0
201500002111263,2015-11-02 16:19:00,LARCENY-THEFT,6500 W THOMAS RD,85033,GROCERY / SUPER MARKET,2015.0,11.0,Monday,16.0
201500002111271,2015-11-02 16:19:00,LARCENY-THEFT,2500 W HAPPY VALLEY RD,85085,DEPARTMENT / DISCOUNT STORE,2015.0,11.0,Monday,16.0
201500002111361,2015-11-02 16:25:00,LARCENY-THEFT,4500 E THOMAS RD,85008,RETAIL BUSINESS,2015.0,11.0,Monday,16.0
201500002111665,2015-11-02 16:45:00,LARCENY-THEFT,1800 E CAMELBACK RD,85016,RETAIL BUSINESS,2015.0,11.0,Monday,16.0
